Molècula,Tanimoto,És Actiu,Actiu més semblant
CS(=O)(=O)O[C@@H]1[C@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
CS(=O)(=O)O[C@@H]1[C@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
CS(=O)(=O)O[C@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
CS(=O)(=O)O[C@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
CS(=O)(=O)O[C@H]1[C@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
CS(=O)(=O)O[C@H]1[C@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
COc1ccc2cc(O)c(N3CC(=O)NS3(=O)=O)cc2c1,1.0,1,COc1ccc2cc([O-])c(N3CC(=O)NS3(=O)=O)cc2c1
COc1ccc2cc([O-])c(N3CC(=O)NS3(=O)=O)cc2c1,1.0,1,COc1ccc2cc(O)c(N3CC(=O)NS3(=O)=O)cc2c1
Cc1c(-c2ccc(-c3cc(Br)c(O)c(Br)c3)cc2)nc(-c2ccc(C(F)(F)F)cc2)o1,1.0,1,Cc1c(-c2ccc(-c3cc(Br)c([O-])c(Br)c3)cc2)nc(-c2ccc(C(F)(F)F)cc2)o1
Cc1c(-c2ccc(-c3cc(Br)c([O-])c(Br)c3)cc2)nc(-c2ccc(C(F)(F)F)cc2)o1,1.0,1,Cc1c(-c2ccc(-c3cc(Br)c(O)c(Br)c3)cc2)nc(-c2ccc(C(F)(F)F)cc2)o1
c1ccc(C2(c3ccccc3)SC[C@@H](CCC(=O)Nc3ccc4c(c3)CO[C@@H](C(=O)[O-])C4)S2)cc1,1.0,1,c1ccc(C2(c3ccccc3)SC[C@H](CCC(=O)Nc3ccc4c(c3)CO[C@@H](C(=O)[O-])C4)S2)cc1
c1ccc(C2(c3ccccc3)SC[C@H](CCC(=O)Nc3ccc4c(c3)CO[C@@H](C(=O)[O-])C4)S2)cc1,1.0,1,c1ccc(C2(c3ccccc3)SC[C@@H](CCC(=O)Nc3ccc4c(c3)CO[C@@H](C(=O)[O-])C4)S2)cc1
COc1ccc(Cc2c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)[O-])cc4)cc3)c3ccccc3s2)cc1,1.0,1,COc1ccc(Cc2c(-c3ccc(-c4ccc(O[C@@H](Cc5ccccc5)C(=O)[O-])cc4)cc3)c3ccccc3s2)cc1
COc1ccc(Cc2c(-c3ccc(-c4ccc(O[C@@H](Cc5ccccc5)C(=O)[O-])cc4)cc3)c3ccccc3s2)cc1,1.0,1,COc1ccc(Cc2c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)[O-])cc4)cc3)c3ccccc3s2)cc1
CCCCc1c(-c2ccc(-c3ccc(O[C@H](c4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2s1,1.0,1,CCCCc1c(-c2ccc(-c3ccc(O[C@@H](c4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2s1
CCCCc1c(-c2ccc(-c3ccc(O[C@@H](c4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2s1,1.0,1,CCCCc1c(-c2ccc(-c3ccc(O[C@H](c4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2s1
CCCCc1c([C@H](c2ccc(-c3ccc(O)cc3)cc2)O)c2ccccc2o1,1.0,1,CCCCc1c([C@@H](c2ccc(-c3ccc(O)cc3)cc2)O)c2ccccc2o1
CCCCc1c([C@@H](c2ccc(-c3ccc(O)cc3)cc2)O)c2ccccc2o1,1.0,1,CCCCc1c([C@H](c2ccc(-c3ccc(O)cc3)cc2)O)c2ccccc2o1
c1ccc([C@H](Cc2ccc(C(F)(F)P(=O)([O-])[O-])c(Br)c2)C(=O)c2ccccc2)cc1,1.0,1,c1ccc([C@@H](Cc2ccc(C(F)(F)P(=O)([O-])[O-])c(Br)c2)C(=O)c2ccccc2)cc1
c1ccc([C@@H](Cc2ccc(C(F)(F)P(=O)([O-])[O-])c(Br)c2)C(=O)c2ccccc2)cc1,1.0,1,c1ccc([C@H](Cc2ccc(C(F)(F)P(=O)([O-])[O-])c(Br)c2)C(=O)c2ccccc2)cc1
c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(-c2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1
c1ccc(-c2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(-c2cnc([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(-c2c[nH]c([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(-c2cnc([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(-c2c[nH]c([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(-c2cnc([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(-c2c[nH]c([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(-c2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(Cc2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1
c1ccc(Cc2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2cnc([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2c[nH]c([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2cnc([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2c[nH]c([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2cnc([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(Cc2c[nH]c([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(Cc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(/C=C/C[C@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)C(=O)c2ccccc2)cc1,1.0,1,c1ccc(/C=C/C[C@@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)C(=O)c2ccccc2)cc1
c1ccc(/C=C/C[C@@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)C(=O)c2ccccc2)cc1,1.0,1,c1ccc(/C=C/C[C@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)C(=O)c2ccccc2)cc1
c1ccc(Cc2c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)[O-])c(C5CCCC5)c4)cc3)c3ccccc3o2)cc1,1.0,1,c1ccc(Cc2c(-c3ccc(-c4ccc(O[C@@H](Cc5ccccc5)C(=O)[O-])c(C5CCCC5)c4)cc3)c3ccccc3o2)cc1
c1ccc(Cc2c(-c3ccc(-c4ccc(O[C@@H](Cc5ccccc5)C(=O)[O-])c(C5CCCC5)c4)cc3)c3ccccc3o2)cc1,1.0,1,c1ccc(Cc2c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)[O-])c(C5CCCC5)c4)cc3)c3ccccc3o2)cc1
Cc1cc(-c2ccc(-c3c4ccccc4oc3Cc3ccccc3)cc2)cc(C)c1O[C@H](Cc1ccccc1)C(=O)[O-],1.0,1,Cc1cc(-c2ccc(-c3c4ccccc4oc3Cc3ccccc3)cc2)cc(C)c1O[C@@H](Cc1ccccc1)C(=O)[O-]
Cc1cc(-c2ccc(-c3c4ccccc4oc3Cc3ccccc3)cc2)cc(C)c1O[C@@H](Cc1ccccc1)C(=O)[O-],1.0,1,Cc1cc(-c2ccc(-c3c4ccccc4oc3Cc3ccccc3)cc2)cc(C)c1O[C@H](Cc1ccccc1)C(=O)[O-]
c1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1,1.0,1,c1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1
c1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1,1.0,1,c1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1
c1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1,1.0,1,c1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1
c1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1,1.0,1,c1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)c3[nH]c4ccccc4n3)cc2)cc1
c1cc(-c2c(Br)c(OCC(=O)[O-])c(C(=O)[O-])s2)cc(NS(=O)(=O)c2ccc(F)cc2)c1,1.0,1,c1cc(-c2c(Br)c(OCC(=O)[O-])c(C(=O)[O-])s2)cc([N-]S(=O)(=O)c2ccc(F)cc2)c1
c1cc(-c2c(Br)c(OCC(=O)[O-])c(C(=O)[O-])s2)cc([N-]S(=O)(=O)c2ccc(F)cc2)c1,1.0,1,c1cc(-c2c(Br)c(OCC(=O)[O-])c(C(=O)[O-])s2)cc(NS(=O)(=O)c2ccc(F)cc2)c1
CCCCCNC(=O)[C@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(/C=C/C(=O)N)c1)NS(=O)(=O)C,1.0,1,CCCCCNC(=O)[C@@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(/C=C/C(=O)N)c1)NS(=O)(=O)C
CCCCCNC(=O)[C@@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(/C=C/C(=O)N)c1)NS(=O)(=O)C,1.0,1,CCCCCNC(=O)[C@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(/C=C/C(=O)N)c1)NS(=O)(=O)C
CC(=O)N[C@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(CCO)c1)C(=O)NCc1ccc([N+](=O)[O-])cc1,1.0,1,CC(=O)N[C@@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(CCO)c1)C(=O)NCc1ccc([N+](=O)[O-])cc1
CC(=O)N[C@@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(CCO)c1)C(=O)NCc1ccc([N+](=O)[O-])cc1,1.0,1,CC(=O)N[C@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c(CCO)c1)C(=O)NCc1ccc([N+](=O)[O-])cc1
CCCCc1c(-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2o1,1.0,1,CCCCc1c(-c2ccc(-c3ccc(O[C@@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2o1
CCCCc1c(-c2ccc(-c3ccc(O[C@@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2o1,1.0,1,CCCCc1c(-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)c2ccccc2o1
Cc1c(C)sc(Cc2ccccc2)c1-c1ccc(-c2ccc(O[C@H](Cc3ccccc3)C(=O)[O-])cc2)cc1,1.0,1,Cc1c(C)sc(Cc2ccccc2)c1-c1ccc(-c2ccc(O[C@@H](Cc3ccccc3)C(=O)[O-])cc2)cc1
Cc1c(C)sc(Cc2ccccc2)c1-c1ccc(-c2ccc(O[C@@H](Cc3ccccc3)C(=O)[O-])cc2)cc1,1.0,1,Cc1c(C)sc(Cc2ccccc2)c1-c1ccc(-c2ccc(O[C@H](Cc3ccccc3)C(=O)[O-])cc2)cc1
c1ccc(Cc2c3ccccc3oc2-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)cc1,1.0,1,c1ccc(Cc2c3ccccc3oc2-c2ccc(-c3ccc(O[C@@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)cc1
c1ccc(Cc2c3ccccc3oc2-c2ccc(-c3ccc(O[C@@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)cc1,1.0,1,c1ccc(Cc2c3ccccc3oc2-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)[O-])cc3)cc2)cc1
c1ccc(/C=C/C[C@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)n2c3ccccc3nn2)cc1,1.0,1,c1ccc(/C=C/C[C@@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)n2c3ccccc3nn2)cc1
c1ccc(/C=C/C[C@@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)n2c3ccccc3nn2)cc1,1.0,1,c1ccc(/C=C/C[C@](Cc2ccc(C(F)(F)P(=O)([O-])[O-])cc2)(c2ccccc2)n2c3ccccc3nn2)cc1
C[C@](Cc1ccc(C(F)(F)P(=O)([O-])[O-])cc1)(c1ccccc1)n1c2ccccc2nn1,1.0,1,C[C@](Cc1ccc(C(F)(F)P(=O)([O-])[O-])cc1)(c1ccccc1)n1c2ccccc2nn1
C[C@](Cc1ccc(C(F)(F)P(=O)([O-])[O-])cc1)(c1ccccc1)n1c2ccccc2nn1,1.0,1,C[C@](Cc1ccc(C(F)(F)P(=O)([O-])[O-])cc1)(c1ccccc1)n1c2ccccc2nn1
CCCCCNC(=O)[C@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c2c1cccc2)NC(=O)C,1.0,1,CCCCCNC(=O)[C@@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c2c1cccc2)NC(=O)C
CCCCCNC(=O)[C@@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c2c1cccc2)NC(=O)C,1.0,1,CCCCCNC(=O)[C@H](Cc1ccc(N(c2ccccc2C(=O)[O-])C(=O)C(=O)[O-])c2c1cccc2)NC(=O)C
c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCCc2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1
c1ccc(CCCc2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCCc2cnc([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCCc2c[nH]c([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCCc2cnc([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCCc2c[nH]c([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCCc2cnc([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCCc2c[nH]c([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCc2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1
c1ccc(CCc2c[nH]c([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCc2cnc([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCc2c[nH]c([C@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCc2cnc([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCc2c[nH]c([C@@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)n2)cc1,1.0,1,c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
c1ccc(CCc2cnc([C@@H](Cc3ccc([C@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1,1.0,1,c1ccc(CCc2cnc([C@H](Cc3ccc([C@@H]4CC([O-])=NS4(=O)=O)cc3)NS(=O)(=O)c3cccc(F)c3)[nH]2)cc1
